AIID	type	待機判斷時間	防禦時間	組合拳1	組合拳2	組合拳3	組合拳機率1	組合拳機率2	組合拳機率3	攻擊機率	閃躲機率	防禦機率	攻擊機率	閃躲機率	防禦機率	反擊時間
1	1	0.5	1,2	0,0,1	0,2,0	0,0,3	10	80	10	70	0	30	70	0	30	1.2
2	2	0.5	1,2	0,0,1	0,2,0	0,0,3	50	40	10	30	0	70	90	0	10	1.2
3	3	0.5	1,2	0,0,1	0,2,0	0,0,3	30	40	30	55	0	45	100	0	0	1.2
4	4	0.5	1,2	0,0,2	1,0,0	3,0,0	50	40	10	50	40	10	30	60	10	1.2
5	5	0.5	1,3	0,0,1	0,2,0	0,0,3	40	40	20	100	0	0	30	50	20	0.8
6	6	0.3	1,3	0,0,1	0,2,0	0,0,3	30	40	30	50	0	50	30	70	0	1
7	7	1.5	1,2	0,0,1	0,0,2	0,0,1	10	80	10	50	50	0	0	100	0	1.5
8	8	0.3	1,3	0,0,3	0,0,2	0,0,1	10	80	10	40	0	60	20	0	80	0.5
9	9	0.5	1,1	0,0,1	0,2,0	0,0,3	70	20	10	70	0	30	70	0	30	1
10	10	0.5	1,1	0,0,1	0,2,0	0,0,3	20	70	10	60	0	40	90	0	10	1
11	11	0.3	1,1	0,0,1	0,2,0	0,0,3	10	20	70	55	0	45	100	0	0	1
12	12	0.3	1,2	0,0,1	0,2,0	0,0,3	10	40	50	50	40	10	30	60	10	1.2
13	13	0.1	1,1	0,0,1	0,2,0	0,0,3	50	10	40	100	0	0	20	20	60	1
14	14	0.1	1,2	0,0,1	0,2,0	0,0,3	10	80	10	70	0	30	70	0	30	0.3
15	15	0.1	1,2	0,0,1	0,2,0	0,0,3	50	40	10	30	0	70	90	0	10	0.3
16	16	0.1	1,2	0,0,1	0,2,0	0,0,3	30	40	30	55	0	45	100	0	0	0.3
17	17	0.1	1,2	0,0,2	1,0,0	3,0,0	50	40	10	50	40	10	30	60	10	1
18	18	0.1	1,3	0,0,1	0,2,0	0,0,3	40	40	20	100	0	0	30	50	20	1
19	19	0.1	1,3	0,0,1	0,2,0	0,0,3	30	40	30	70	0	30	30	70	0	0.5
20	20	0.8	1,1	0,0,3	0,0,2	2,1,2	50	40	10	70	30	0	50	50	0	0.8
21	21	0.5	1,2	0,0,3	0,2,3	1,2,3	50	40	10	50	50	0	40	60	0	0.5
22	22	0.3	1,1	0,0,3	0,2,1	2,1,2	30	40	30	50	50	0	50	50	0	0.3
23	23	0.2	1,1	0,0,3	0,1,2	0,1,3	50	40	10	70	30	0	20	70	0	0.5
24	24	0.2	1,1	0,0,3	0,2,3	0,1,3	50	40	10	20	80	0	100	0	0	1.5
25	25	0.2	1,1	0,3,1	0,2,2	5,2,3	30	40	30	35	30	35	35	35	30	0.8
26	26	0.8	1,1	0,0,3	0,0,2	2,1,2	20	40	40	70	30	0	0	100	0	2
27	27	0.5	1,2	0,0,3	0,1,1	1,1,3	50	40	10	50	50	0	40	60	0	0.5
28	28	0.3	1,1	0,0,3	0,0,1	2,1,3	30	40	30	60	40	0	70	30	0	0.3
29	29	0.2	1,1	0,0,3	0,0,2	0,1,3	30	20	50	70	30	0	20	70	0	0.5
30	30	0.2	1,1	0,0,1	0,2,3	0,1,3	25	50	25	20	80	0	100	0	0	1.5
31	31	0.2	1,1	0,0,1	0,1,1	5,2,3	30	40	30	50	10	40	35	35	30	0.8
32	32	0.2	1,1	0,0,3	0,0,2	2,1,2	50	40	10	70	30	0	50	50	0	0.5
33	33	0.2	1,2	0,0,3	0,2,3	1,2,3	50	40	10	50	50	0	40	60	0	0.5
