id	說明	資料格式
2201001	臉1	{"mod":"CH00F001"}
2201002	臉2	{"mod":"CH00F002"}
2201003	臉3	{"mod":"CH00F003"}
2201004	臉4	{"mod":"CH00F004"}
2201005	臉5	{"mod":"CH00F005"}
2201006	臉6	{"mod":"CH00F006"}
2201007	臉7	{"mod":"CH00F007"}
2201008	臉8	{"mod":"CH00F008"}
2201009	臉9	{"mod":"CH00F009"}
2201010	臉10	{"mod":"CH00F010"}
2201011	喧嘩	{"mod":"CH00F011"}
2201012	影華	{"mod":"CH00F012"}
2201013	百華	{"mod":"CH00F013"}
2201014	帝華	{"mod":"CH00F014"}
2201015	愛莉	{"mod":"CH00F015"}
2202001	膚色1_白	{"color":{"R":"255","G":"255","B":"255"}}
2202002	膚色2_一般粉	{"color":{"R":"255","G":"237","B":"231"}}
2202003	膚色3_一般	{"color":{"R":"230","G":"199","B":"185"}}
2202004	膚色4_健康	{"color":{"R":"213","G":"162","B":"134"}}
2202005	膚色5_深	{"color":{"R":"176","G":"121","B":"111"}}
2203001	M 標準	{"size":{"L":"0","M":"100","S":"0","SS":"0"}}
2203002	L 胸部大	{"size":{"L":"50","M":"0","S":"0","SS":"0"}}
2203003	S 胸部小	{"size":{"L":"0","M":"0","S":"100","SS":"0"}}
2203004	SS 胸部平、臀略小	{"size":{"L":"0","M":"0","S":"0","SS":"100"}}
