id	說明	資料格式
2201001C	臉1	{"mod":"CH00F001C"}
2201002C	臉2	{"mod":"CH00F002C"}
2201003C	臉3	{"mod":"CH00F003C"}
2201004C	臉4	{"mod":"CH00F004C"}
2201005C	臉5	{"mod":"CH00F005C"}
2201006C	臉6	{"mod":"CH00F006C"}
2201007C	臉7	{"mod":"CH00F007C"}
2202001	膚色1_白	{"color":{"R":"255","G":"255","B":"255"}}
2202002	膚色2_一般粉	{"color":{"R":"255","G":"237","B":"231"}}
2202003	膚色3_一般	{"color":{"R":"230","G":"199","B":"185"}}
2202004	膚色4_健康	{"color":{"R":"213","G":"162","B":"134"}}
2202005	膚色5_深	{"color":{"R":"176","G":"121","B":"111"}}
2203001	M 標準	{"size":{"L":"0","M":"100","S":"0","SS":"0"}}
2203002	L 胸部大	{"size":{"L":"50","M":"0","S":"0","SS":"0"}}
2203003	S 胸部小	{"size":{"L":"0","M":"0","S":"100","SS":"0"}}
2203004	SS 胸部平、臀略小	{"size":{"L":"0","M":"0","S":"0","SS":"100"}}
