專屬碼	名稱	限制時間	拳館獲得經驗值	角色獲得經驗值	消耗行動力	失敗消耗行動力	次數限制	獎勵	NPC專屬碼	NPC_AI模式	NPC_難度	是否可重覆	獲得金幣倍率	賽場編號	賽場徽標	拳館等級需求	據點ICON	關卡敘述	NPC爬起次數 	讀秒區間1	讀秒區間2	圖紙	回合時間	勝利條件類型	勝利條件變數	爆衣機率	頭套ID
1001010	9013001	3	6	16	6	1	0	{"1000":{"0511007":{"base":3,"amount":2},"0501021":{"amount":1},"0501044":{"amount":1}}}	2001061	7	1.00	0	1.01	outer_floor_d	ring_floor_d	0		9113001	0	0	0	{}	0	0	0	0	
1001020	9013002	3	6	18	6	1	0	{"1000":{"0511007":{"base":3,"amount":2},"0501052":{"amount":1}}}	2001062	8	1.00	0	1.01	outer_floor_d	ring_floor_d	0		9113002	0	0	0	{}	0	0	0	0	
1001030	9013003	3	6	20	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511001":{"base":5,"amount":3},"0511007":{"base":3,"amount":2},"0503001":{"amount":1}}}	2001001	1	2.00	1	1.00	outer_floor_d	ring_floor_d	0	stage01map_point_01	9113003	0	0	0	{}	0	0	0	100	0107001
1001040	9013004	3	6	21	6	1	0	{"1000":{"0511001":{"base":3,"amount":2},"0503006":{"amount":1}}}	2001063	9	1.00	0	1.01	outer_floor_d	ring_floor_d	0		9113004	0	0	0	{}	0	0	0	0	
1001050	9013005	3	6	22	6	1	0	{"1000":{"0511001":{"base":3,"amount":2},"0503007":{"amount":1}}}	2001064	9	1.00	0	1.01	outer_floor_d	ring_floor_d	0		9113005	0	0	0	{}	0	0	0	0	
1001060	9013006	3	6	22	6	1	0	{"150":{"0202006":{"amount":1}},"1000":{"0511007":{"base":5,"amount":3},"0511019":{"base":3,"amount":2},"0501012":{"amount":1},"0501014":{"amount":1}}}	2001002	2	2.00	1	1.03	outer_floor_d	ring_floor_d	0	stage01map_point_02	9113006	1	2	7	{}	0	0	0	100	0107002
1001070	9013007	3	6	23	6	1	0	{"1000":{"0511019":{"base":3,"amount":2},"0501028":{"amount":1},"0501029":{"amount":1}}}	2001065	10	1.00	0	1.05	outer_floor_d	ring_floor_d	0		9113007	0	0	0	{}	0	0	0	0	
1001080	9013008	3	6	23	6	1	0	{"1000":{"0511019":{"base":3,"amount":2},"0501034":{"amount":1}}}	2001066	10	1.00	0	1.01	outer_floor_d	ring_floor_d	0		9113008	0	0	0	{}	0	0	0	0	
1001090	9013009	3	6	24	6	1	0	{"150":{"0202006":{"amount":1}},"1000":{"0511025":{"base":5,"amount":3},"0511013":{"base":3,"amount":2},"0501035":{"amount":1}}}	2001003	3	2.00	1	1.07	outer_floor_d	ring_floor_d	0	stage01map_point_03	9113009	0	0	0	{}	0	0	0	100	0107003
1001100	9013010	3	6	24	6	1	0	{"1000":{"0511013":{"base":3,"amount":2},"0501046":{"amount":1}}}	2001067	11	1.00	0	1.09	outer_floor_d	ring_floor_d	0		9113010	0	0	0	{}	0	0	0	0	
1001110	9013011	3	6	24	6	1	0	{"1000":{"0511013":{"base":3,"amount":2},"0501055":{"amount":1}}}	2001068	11	1.00	0	1.01	outer_floor_d	ring_floor_d	0		9113011	0	0	0	{}	0	0	0	0	
1001120	9013012	3	6	24	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511019":{"base":5,"amount":3},"0511025":{"base":3,"amount":2},"0502004":{"amount":1}}}	2001004	4	2.00	1	1.11	outer_floor_d	ring_floor_d	0	stage01map_point_04	9113012	0	0	0	{}	0	0	0	100	0107001
1001130	9013013	3	6	26	6	1	0	{"1000":{"0511001":{"base":3,"amount":2},"0502013":{"amount":1}}}	2001069	12	1.00	0	1.01	outer_floor_d	ring_floor_d	0		9113013	0	0	0	{}	0	0	0	0	
1001140	9013014	3	6	26	6	1	0	{"1000":{"0511001":{"base":3,"amount":2},"0502014":{"amount":1},"0502015":{"amount":1}}}	2001070	12	1.00	0	1.13	outer_floor_d	ring_floor_d	0		9113014	0	0	0	{}	0	0	0	0	
1001150	9013015	3	6	27	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511013":{"base":5,"amount":3},"0511025":{"base":3,"amount":2},"0502019":{"amount":1}}}	2001005	5	2.00	1	1.15	outer_floor_d	ring_floor_d	0	stage01map_point_05	9113015	0	0	0	{}	0	0	0	100	0107002
1001160	9013016	3	6	27	6	1	0	{"1000":{"0511025":{"base":3,"amount":2},"0502050":{"amount":1}}}	2001071	13	1.00	0	1.17	outer_floor_d	ring_floor_d	0		9113016	0	0	0	{}	0	0	0	0	
1001170	9013017	3	6	28	6	1	0	{"1000":{"0511025":{"base":3,"amount":2},"0502101":{"amount":1}}}	2001072	13	1.00	0	1.19	outer_floor_d	ring_floor_d	0		9113017	0	0	0	{}	0	0	0	0	
1001180	9013018	3	6	28	6	1	0	{"150":{"0202009":{"amount":1}},"1000":{"0511025":{"base":5,"amount":3},"0511019":{"base":3,"amount":2},"0502102":{"amount":1}}}	2001006	6	1.00	1	1.20	outer_floor_d	ring_floor_d	0	stage01map_point_06	9113018	1	3	7	{"200":{"5002035":{"base":1,"amount":1}},"400":{"5005501":{"base":1,"amount":1}},"600":{"5001024":{"base":1,"amount":1}}}	0	0	0	100	0107003
