專屬碼	名稱	lv1成長係數	lv2成長係數	lv3成長係數	lv4成長係數	lv5成長係數	回收價格	販賣價格	說明	裝備等級	套裝編號	ICON編號	MODEL編號	初始品質	初始屬性	隱藏	(舊)品質1插槽格式	(舊)品質2插槽格式	(舊)品質3插槽格式	(舊)品質4插槽格式	(舊)品質5插槽格式	(舊)品質6插槽格式	品質1插槽格式	品質2插槽格式	品質3插槽格式	品質4插槽格式	品質5插槽格式	品質6插槽格式	分類標籤	爆衣ID	出處	顯示稀有度	碎片轉換數	初始星數	附魔次數限制
0103001	9003001	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9103001	0		UI_CH00G001	CH00G001	1	[58,34,37,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	[]	[]	[]	[]	0		shop	D	10	1	0
0103002	9003002	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9103002	0		UI_CH00G002	CH00G002	1	[33,38,55,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201001","0201007"]	["0201014","0201014","0201001","0201001","0201007","0201007"]	[]	[]	[]	[]	0		drop	D	10	1	0
0103003	9003003	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9103003	0		UI_CH00G003	CH00G003	1	[55,30,35,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	[]	[]	[]	[]	0		drop	D	10	1	0
0103004	9003004	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9103004	0		UI_CH00G004	CH00G004	1	[35,58,39,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201007","0201007","0201007","0201007","0201001","0201013"]	["0201008","0201008","0201001","0201001","0201013","0201013"]	[]	[]	[]	[]	0		drop	D	10	1	0
0103005	9003005	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9103005	0		UI_CH00G005	CH00G005	1	[45,32,55,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201001","0201007"]	["0201014","0201014","0201001","0201001","0201007","0201007"]	[]	[]	[]	[]	0		drop	D	10	1	0
0103006	9003006	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9103006	0		UI_CH00G006	CH00G006	1	[42,42,42,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201007","0201007","0201013","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	[]	[]	[]	[]	0		drop	D	10	1	0
0103007	9003007	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9103007	0	0601023	UI_CH00G007	CH00G007	1	[26,58,45,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201007","0201007","0201007","0201007","0201001","0201013"]	["0201008","0201008","0201001","0201001","0201013","0201013"]	[]	[]	[]	[]	0		shop	D	10	1	0
0103008	9003008	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	7500	{"1":75000,"2":100,"3":1000,"4":500}	9103008	0		UI_CH00G008	CH00G008	1	[43,65,40,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201007","0201007","0201007","0201007","0201001","0201013"]	["0201008","0201008","0201001","0201001","0201013","0201013"]	["0201009","0201008","0201007","0201007","0201001","0201013"]	[]	[]	[]	0		shop	C	10	1	0
0103009	9003009	[1.5,1.5,1.5,1,1,1,1,1]	[3,3,3,1,1,1,1,1]	[5,5,5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103009	0		UI_CH00G009	CH00G009	1	[43,40,65,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201013","0201013","0201013","0201013","0201001","0201007"]	["0201014","0201014","0201001","0201001","0201007","0201007"]	["0201015","0201014","0201013","0201013","0201001","0201007"]	[]	[]	[]	0		pvp	C	10	1	0
0103010	9003010	[1.5,1.5,1.5,1,1,1,1,1]	[3.5,3.5,3.5,1,1,1,1,1]	[5.5,5.5,5.5,1,1,1,1,1]	[7.5,7.5,7.5,1,1,1,1,1]	[10,10,10,1,1,1,1,1]	160000	{"1":600000,"2":1600,"3":4000,"4":2000}	9103010	0		UI_CH00G010	CH00G010	1	[48,38,34,0,0,0,0,0]	0	[1,1,1,1,1,1]	[2,2,1,1,1,1]	[3,2,1,1,1,1]	[4,4,3,2,1,1]	[5,5,4,3,3,1]	[6,6,5,3,2,1]	["0201001","0201001","0201001","0201001","0201007","0201013"]	["0201002","0201002","0201007","0201007","0201013","0201013"]	["0201009","0201008","0201007","0201007","0201001","0201013"]	["0201010","0201010","0201009","0201008","0201001","0201013"]	["0201011","0201011","0201010","0201003","0201015","0201013"]	[]	0		eshop	A	30	2	5
