專屬碼	名稱	說明	效果	販售價個	回收價格	ICON編號	裝備初始品質	出處	附魔
0201001	9007001	9107001	{"6":{"1":1}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_001	1	gdraw	[]
0201002	9007002	9107002	{"6":{"1":2}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_002	2	gdraw	[]
0201003	9007003	9107003	{"6":{"1":3}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_003	3	gdraw	[]
0201004	9007004	9107004	{"6":{"1":4}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_004	4	gdraw	[]
0201005	9007005	9107005	{"6":{"1":5}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_005	5	vdraw	[]
0201006	9007006	9107006	{"6":{"1":6}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_006	6	vdraw	[]
0201007	9007007	9107007	{"6":{"2":1}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_007	1	gdraw	[]
0201008	9007008	9107008	{"6":{"2":2}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_008	2	gdraw	[]
0201009	9007009	9107009	{"6":{"2":3}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_009	3	gdraw	[]
0201010	9007010	9107010	{"6":{"2":4}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_010	4	gdraw	[]
0201011	9007011	9107011	{"6":{"2":5}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_011	5	vdraw	[]
0201012	9007012	9107012	{"6":{"2":6}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_012	6	vdraw	[]
0201013	9007013	9107013	{"6":{"3":1}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_013	1	gdraw	[]
0201014	9007014	9107014	{"6":{"3":2}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_014	2	gdraw	[]
0201015	9007015	9107015	{"6":{"3":3}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_015	3	gdraw	[]
0201016	9007016	9107016	{"6":{"3":4}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_016	4	gdraw	[]
0201017	9007017	9107017	{"6":{"3":5}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_017	5	vdraw	[]
0201018	9007018	9107018	{"6":{"3":6}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_018	6	vdraw	[]
0201019	9007019	9107019	{"6":{"4":1}}	{"1":12500,"2":100,"3":200,"4":100}	100	UI_ItemPart_019	1	gdraw	[]
0201020	9007020	9107020	{"6":{"4":2}}	{"1":40000,"2":200,"3":400,"4":200}	400	UI_ItemPart_020	2	gdraw	[]
0201021	9007021	9107021	{"6":{"4":3}}	{"1":90000,"2":300,"3":1200,"4":600}	900	UI_ItemPart_021	3	gdraw	[]
0201022	9007022	9107022	{"6":{"4":4}}	{"1":160000,"2":400,"3":1600,"4":800}	1600	UI_ItemPart_022	4	gdraw	[]
0201023	9007023	9107023	{"6":{"4":5}}	{"1":360000,"2":600,"3":2700,"4":1800}	3600	UI_ItemPart_023	5	vdraw	[]
0201024	9007024	9107024	{"6":{"4":6}}	{"1":640000,"2":800,"3":3600,"4":2400}	6400	UI_ItemPart_024	6	vdraw	[]
