等級	拳館進階需求經驗值	此等最大行動力	升此級贈送行動力	角色需求經驗值	拳館解鎖項目
1	26	60	20	60	[]
2	20	62	20	70	[]
3	26	63	20	80	[]
4	28	64	20	85	[]
5	30	65	20	90	["商店"]
6	30	66	20	100	[]
7	50	67	20	130	["序號兌換"]
8	80	68	20	150	["精英戰"]
9	100	69	20	180	[]
10	130	70	20	180	["PVP","拳館-訓練"]
11	130	71	20	200	["鈔票換金幣"]
12	130	72	20	220	[]
13	130	73	20	220	[]
14	130	74	20	230	["會外賽"]
15	130	75	20	240	[]
16	130	76	20	270	[]
17	130	77	20	280	[]
18	135	78	20	290	[]
19	135	79	20	290	[]
20	135	80	20	350	[]
21	150	81	20	420	[]
22	150	82	20	450	[]
23	160	83	20	480	[]
24	180	84	20	510	[]
25	190	85	20	530	["特殊聯賽,整備格-訓練師","防護員"]
26	200	86	30	560	[]
27	240	87	30	590	[]
28	280	88	30	620	[]
29	350	89	30	650	[]
30	420	90	40	750	[]
31	490	91	40	850	[]
32	560	92	40	950	[]
33	650	93	40	1050	[]
34	740	94	40	1150	[]
35	830	95	40	1300	[]
36	1000	96	60	1400	[]
37	1200	97	60	1700	[]
38	1400	98	60	2000	[]
39	1700	99	60	2300	[]
40	1750	100	70	2600	[]
41	1850	101	70	3000	[]
42	1950	102	70	3300	[]
43	2100	103	70	3700	[]
44	2300	104	70	4100	[]
45	2400	105	70	4500	[]
46	2500	106	80	5000	[]
47	2650	107	80	5400	[]
48	2650	108	80	5900	[]
49	2900	109	80	6400	[]
50	3000	110	80	7000	["整備格-啦啦隊員","護牙套"]
51	3150	111	90	7500	[]
52	3200	112	90	8100	[]
53	3250	113	90	8700	[]
54	3300	114	90	9300	[]
55	3400	115	90	10000	[]
56	3500	116	100	11000	[]
57	3600	117	100	11000	[]
58	3800	118	100	12000	[]
59	3900	119	100	13000	[]
60	3900	120	100	14000	[]
61	3900	121	110	15000	[]
62	4000	122	110	15000	[]
63	4000	123	110	16000	[]
64	4000	124	110	17000	[]
65	4000	125	110	18000	[]
66	4000	126	120	20000	[]
67	4000	127	120	21000	[]
68	4000	128	120	22000	[]
69	4000	129	120	23000	[]
70	4000	130	120	24000	[]
