拳套	鞋子	衣服
103001	105001	102004
103002	105002	102005
103003	105003	102007
103004	105004	102009
103005	105005	102011
103006	105006	102014
103007	105007	102015
103008	105008	102016
103009	105009	102017
103010	105010	102018
103011	105011	102019
103012	105012	102020
103013	105013	102024
103014	105014	102025
103015	105015	102026
103016	105016	102028
103017	105017	102029
103018	105018	102030
103019	105019	102032
103020	105051	102033
103021	105052	102034
103022	105053	102035
103051	105054	102036
103052	105055	102037
103053	105056	102038
103054	105057	102039
	105058	102040
	105059	102041
	105060	102042
	105061	102043
	105062	102044
	105063	102045
	105064	102046
	105065	102047
	105102	102049
	105103	102050
	105104	102051
	105105	102052
	105106	102053
	105107	102054
	105501	102055
	105502	102056
	105503	102057
	105504	102058
	105505	102059
	105506	102060
	105507	102061
	105508	102062
	105509	102064
		102065
