專屬碼	名稱	屬性	臉	皮膚	胸部	裝備	技能1	技能2	音效包	被動技能	頭像	頭像框	弱點加成	弱點	弱點角色	弱點技能
2001001	9011005	{"1":13,"2":33,"3":20,"4":20,"5":23,"6":380,"7":100,"8":10,"11":0.85,"12":0.85,"13":0.85}	2201006	2202001	2203001	["0101001","0102017","0103001","","0105001",""]	{}	{}	1100005					[]	[]	[]
2001002	9020002	{"1":12,"2":40,"3":23,"4":22,"5":25,"6":100,"7":380,"8":10,"11":0.9,"12":0.9,"13":0.9}	2201001	2202002	2203001	["0101024","0102036","0103006","","0105008",""]	{}	{}	1100904					[]	[]	[]
2001003	9020003	{"1":25,"2":45,"3":21,"4":21,"5":22,"6":100,"7":100,"8":380,"11":0.9,"12":0.9,"13":0.9}	2201005	2202001	2203002	["0101020","0102503","0103002","","0105003",""]	{}	{}	1100907					[]	[]	[]
2001004	9020004	{"1":33,"2":60,"3":11,"4":23,"5":14,"6":10,"7":380,"8":10,"11":0.9,"12":0.9,"13":0.9}	2201005	2202001	2203003	["0101028","0102032","0103005","","0105001",""]	{}	{}	1100903					[]	[]	[]
2001005	9020005	{"1":33,"2":57,"3":21,"4":25,"5":20,"6":380,"7":140,"8":10,"11":0.9,"12":0.9,"13":0.9}	2201010	2202001	2203002	["0101033","0102077","0103001","","0105001",""]	{}	{}	1100906					[]	[]	[]
2001006	9011005	{"1":22,"2":42,"3":24,"4":22,"5":21,"6":140,"7":140,"8":30,"11":0.9,"12":0.9,"13":0.9}	2201006	2202001	2203001	["0101001","0102017","0103001","","0105001",""]	{"id":"0301002","damage":5,"success":0,"time":5,"rage":5,"blood":5}	{}	1100005					[]	[]	[]
2001007	9020006	{"1":32,"2":20,"3":40,"4":40,"5":8,"6":10,"7":120,"8":120,"11":1.1,"12":1.1,"13":1.1}	2201010	2202001	2203002	["0101032","0102050","0103014","","0105053",""]	{"id":"0301003","damage":1,"success":0,"time":50,"rage":0,"blood":200}	{}	1100901					[]	[]	[]
2001008	9020007	{"1":27,"2":22,"3":36,"4":50,"5":8,"6":10,"7":120,"8":120,"11":1.1,"12":1.1,"13":1.1}	2201008	2202001	2203001	["0101034","0102043","0103006","","0105004",""]	{}	{}	1100903					[]	[]	[]
2001009	9011002	{"1":20,"2":27,"3":33,"4":53,"5":8,"6":300,"7":10,"8":300,"11":1.1,"12":1.1,"13":0.8}	2201003	2202001	2203002	["0101003","0102052","0103052","","0105052","0106052"]	{"id":"0301013","damage":1,"success":0,"time":50,"rage":300,"blood":10}	{}	1100002					[]	[]	[]
2001010	9020008	{"1":27,"2":29,"3":37,"4":47,"5":33,"6":10,"7":10,"8":10,"11":1.1,"12":1.1,"13":1.1}	2201008	2202001	2203001	["0101018","0102024","0103012","","0105004",""]	{"id":"0301011","damage":200,"success":0,"time":70,"rage":100,"blood":1}	{}	1100906					[]	[]	[]
2001011	9020009	{"1":19,"2":24,"3":40,"4":35,"5":34,"6":60,"7":140,"8":140,"11":1.1,"12":1.1,"13":1.5}	2201003	2202001	2203002	["0101038","0102057","0103057","","0105057","0106057"]	{}	{}	1100907					[]	[]	[]
2001012	9020010	{"1":26,"2":30,"3":60,"4":66,"5":44,"6":30,"7":250,"8":250,"11":1.1,"12":1.1,"13":1.1}	2201007	2202001	2203001	["0101033","0102105","0103054","","0105054","0106054"]	{"id":"0301005","damage":8,"success":0,"time":8,"rage":8,"blood":8}	{}	1100902					[]	[]	[]
2001013	9020011	{"1":61,"2":34,"3":43,"4":50,"5":60,"6":30,"7":120,"8":120,"11":1.1,"12":1.1,"13":1.1,"22":3000}	2201010	2202001	2203001	["0101010","0102505","0103012","","0105057",""]	{"id":"0301012","damage":25,"success":0,"time":25,"rage":25,"blood":25}	{}	1100901					[]	[]	[]
2001014	9020012	{"1":70,"2":40,"3":33,"4":56,"5":45,"6":120,"7":50,"8":120,"11":1.1,"12":1.1,"13":1.1}	2201001	2202001	2203001	["0101029","0102038","0103003","","0105004",""]	{"id":"0301008","damage":25,"success":0,"time":200,"rage":1,"blood":1}	{}	1100904					[]	[]	[]
2001015	9020013	{"1":59,"2":44,"3":31,"4":48,"5":55,"6":300,"7":50,"8":30,"11":1.3,"12":1.4,"13":0.8,"24":500}	2201003	2202001	2203001	["0101026","0102045","0103008","","0105008",""]	{"id":"0305001","damage":15,"success":8,"time":8,"rage":0,"blood":8}	{}	1100906					[]	[]	[]
2001016	9020014	{"1":66,"2":49,"3":41,"4":66,"5":56,"6":140,"7":30,"8":140,"11":1.1,"12":1.1,"13":1.1}	2201001	2202003	2203001	["0101036","0102061","0103013","","0105013",""]	{}	{}	1100904					[]	[]	[]
2001017	9020015	{"1":65,"2":41,"3":46,"4":77,"5":63,"6":30,"7":300,"8":100,"11":1.1,"12":1.4,"13":1.1}	2201010	2202001	2203002	["0101023","0102093","0103014","","0105014",""]	{}	{}	1100902					[]	[]	[]
2001018	9011003	{"1":77,"2":50,"3":53,"4":80,"5":71,"6":50,"7":250,"8":320,"11":1.2,"12":1.2,"13":1.2}	2201005	2202001	2203004	["0101005","0102103","0103005","","0105005",""]	{"id":"0301004","damage":25,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0301008","damage":25,"success":0,"time":25,"rage":25,"blood":25}	1100003					[]	[]	[]
2001019	9020016	{"1":51,"2":83,"3":46,"4":55,"5":66,"6":50,"7":300,"8":350,"11":1.1,"12":1.1,"13":1.3}	2201004	2202001	2203003	["0101012","0102014","0103053","","0105009","0106055"]	{"id":"0301001","damage":25,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0305002","damage":25,"success":25,"time":25,"rage":0,"blood":25}	1100905					[]	[]	[]
2001020	9020017	{"1":10,"2":80,"3":20,"4":67,"5":75,"6":30,"7":30,"8":30,"11":1.1,"12":1.1,"13":1.1,"24":500}	2201005	2202001	2203002	["0101020","0102201","0103013","","0105013","0106056"]	{"id":"0301005","damage":10,"success":0,"time":25,"rage":25,"blood":25}	{"id":"0305005","damage":25,"success":25,"time":25,"rage":0,"blood":25}	1100906					[]	[]	[]
