次數	PVP冷卻(虛擬幣)	PVP次數購買(虛擬幣)	行動力購買(虛擬幣)	行動力購買獲得	關卡重置次數(虛擬幣)	關卡直通(虛擬幣)	訓練點購買(虛擬幣)	訓練點購買獲得數量	普通轉蛋需求(遊戲幣)	代幣轉蛋需求(虛擬幣)	精選轉蛋需求(虛擬幣)	一般商店刷新(虛擬幣)	PVP商店刷新(PVP幣)	裝備拆零件(遊戲幣)	裝備拆零件(虛擬幣)	點金手(虛擬幣)	點金手獲得數量	基本屬性提升花費(遊戲幣)	裝備升階需求金(遊戲幣)	中場買血(鑽石)	精英商店刷新(精英幣)	菁英對戰刷新次數(虛擬幣)	附魔鈔票花費	附魔鑽石花費
1	50	100	50	120	20	1	10	10	2000	100	200	50	10	27000	10	10	14040	100	0	10	10	0	15000	10
2	50	100	50	120	50	1	20	10	20000	950	400	50	10	27000	10	20	14456	500	1200	20	10	100	20000	15
3	50	100	100	120	50	1	20	10				50	50	28800	20	20	14976	1000	5000	30	50		30000	25
4	50	150	100	120	100	1	40	10				50	50	28800	20	40	15600	1500	18000	40	50		50000	45
5	50	150	100	120	100	1	40	10				50	50	30000	40	40	16328	2000	36000	50	50		70000	65
6	100	200	100	120	150	1	50	10				50	100	30000	40	50	17160	2500	72000	80	100		90000	85
7	100	200	200	120	150	1	50	10				50	100	34800	50	50	18096	3000		80	100		90000	85
8	300	300	200	120	150	1	50	10				50	100	34800	50	50	19136	3500		80	100		110000	105
9	300	300	200	120	250	1	50	10				50	100	34800	50	50	20280	4000		80	100		120000	125
10	300	300	400	120	250	1	100	10				50	200	34800	50	100	21528	4500		100	200		140000	145
11	500	500	400	120	400	1	300	10				50	200	41400	100	300	22880	5000		100	200			
12	500	500	400	120	400	1	300	10				50	200	46800	300	300	24336	5500		100	200			
13	1000	1000	1000	120	1000	1	500	10				50	200	46800	300	500	25896	6000		100	200			
14						1	500	10				50	500	53000	500	500	27560	6500		100	500			
15						1	1000	10				50	500	53000	500	1000	29328	7000		200	500			
16						1						50	500	56400	1000			7500		200	500			
17						1							500					8000		200	500			
18													1000					8500		200	1000			
19																		9000		200				
20																		9500						
21																		10000						
22																		10500						
23																		11000						
24																		11500						
25																		12000						
26																		12500						
27																		13000						
28																		13500						
29																		14000						
30																		14500						
31																		15000						
32																		15500						
33																		16000						
34																		16500						
35																		17000						
36																		17500						
37																		18000						
38																		18500						
39																		19000						
40																		19500						
41																		20000						
42																		21000						
43																		22000						
44																		23000						
45																		24000						
46																		25000						
47																		26000						
48																		27000						
49																		28000						
50																		29000						
51																		30000						
52																		31000						
53																		32000						
54																		33000						
55																		34000						
56																		35000						
57																		36000						
58																		37000						
59																		38000						
60																		39000						
61																		40000						
62																		41000						
63																		42000						
64																		43000						
65																		44000						
66																		45000						
67																		46000						
68																		47000						
69																		48000						
70																		49000						
71																		50000						
72																		51000						
73																		52000						
74																		53000						
75																		54000						
76																		55000						
77																		56000						
78																		57000						
79																		58000						
80																		59000						
81																		60000						
82																		61000						
83																		62000						
84																		63000						
85																		64000						
86																		65000						
87																		66000						
88																		67000						
89																		68000						
90																		69000						
91																		70000						
92																		71000						
93																		72000						
94																		73000						
95																		74000						
96																		75000						
97																		76000						
98																		77000						
99																		78000						
