名次最小	名次最大	鈔票(遊戲幣)	鑽石(商城幣)	PVP幣	獎勵
1	1	100000	180	800	{"0202004":{"amount":12}}
2	2	80000	150	650	{"0202004":{"amount":10}}
3	3	70000	135	550	{"0202004":{"amount":9}}
4	4	63000	125	480	{"0202004":{"amount":8}}
5	5	60000	115	450	{"0202004":{"amount":7}}
6	6	57000	100	420	{"0202004":{"amount":6}}
7	7	54000	100	390	{"0202004":{"amount":5}}
8	8	51000	100	360	{"0202004":{"amount":4}}
9	9	48000	100	330	{"0202004":{"amount":3}}
10	10	45000	100	300	{"0202004":{"amount":2}}
11	20	40000	75	260	{"0202005":{"amount":8}}
21	30	37000	75	240	{"0202005":{"amount":7}}
31	40	35000	75	220	{"0202005":{"amount":6}}
41	50	33000	75	200	{"0202005":{"amount":5}}
51	70	31000	75	180	{"0202005":{"amount":4}}
71	100	29000	75	160	{"0202005":{"amount":3}}
101	200	27000	60	130	{"0202005":{"amount":2}}
201	300	25000	60	130	{"0202006":{"amount":8}}
301	400	23000	60	130	{"0202006":{"amount":7}}
401	500	21000	60	130	{"0202006":{"amount":6}}
501	700	19000	60	130	{"0202006":{"amount":5}}
701	1000	17000	60	130	{"0202006":{"amount":4}}
1001	2000	15000	50	100	{"0202006":{"amount":3}}
2001	3000	14000	50	100	{"0202006":{"amount":3}}
3001	4000	13000	50	100	{"0202006":{"amount":2}}
4001	5000	12000	50	100	{"0202006":{"amount":2}}
5001	7000	11000	50	100	{"0202006":{"amount":1}}
7001	10000	10000	50	100	{"0202006":{"amount":1}}
10001	15000	9000	50	100	{}
15001	0	8000	50	100	{}
