播放位置	類型	參數1	參數2	優先權	動作	表情	顯示類型	顯示時機	1100001	1100002	1100003	1100004	1100005	1100006	1100007	最低等級	最高等級
1	1	1	0	1	{"1100001":15,"1100002":15,"1100003":15,"1100004":15,"1100005":15,"1100006":15,"1100007":15,}	{"1100001":6,"1100002":6,"1100003":6,"1100004":6,"1100005":6,"1100006":6,"1100007":5,}	功能類	從戰鬥切回大廳時(上一場比賽為勝利)	{"1100001":9240001,"1100002":9241001,"1100003":9242001,"1100004":9243001,"1100005":9244001,"1100006":9245001,"1100007":9246001,}							0	90
1	1	0	0	1	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":9,}	功能類	從戰鬥切回大廳時(上一場比賽為失敗)	{"1100001":9240002,"1100002":9241002,"1100003":9242002,"1100004":9243002,"1100005":9244002,"1100006":9245002,"1100007":9246002,}							0	90
2	2	1	0	1	{"1100001":12,"1100002":12,"1100003":12,"1100004":12,"1100005":12,"1100006":12,"1100007":12,}	{"1100001":6,"1100002":6,"1100003":6,"1100004":6,"1100005":6,"1100006":6,"1100007":2,}	功能類	單獨使用訓練功能1次	{"1100001":9240003,"1100002":9241003,"1100003":9242003,"1100004":9243003,"1100005":9244003,"1100006":9245003,"1100007":9246003,}							0	90
2	2	5	0	1	{"1100001":12,"1100002":12,"1100003":12,"1100004":12,"1100005":12,"1100006":12,"1100007":12,}	{"1100001":6,"1100002":6,"1100003":6,"1100004":6,"1100005":6,"1100006":6,"1100007":5,}	功能類	連續使用訓練功能5次	{"1100001":9240004,"1100002":9241004,"1100003":9242004,"1100004":9243004,"1100005":9244004,"1100006":9245004,"1100007":9246004,}							0	90
2	2	10	0	1	{"1100001":7,"1100002":7,"1100003":7,"1100004":7,"1100005":7,"1100006":7,"1100007":7,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":9,}	功能類	連續使用訓練功能10次	{"1100001":9240005,"1100002":9241005,"1100003":9242005,"1100004":9243005,"1100005":9244005,"1100006":9245005,"1100007":9246005,}							0	90
2	3	1	0	1	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	功能類	購買新的絕招	{"1100001":9240006,"1100002":9241006,"1100003":9242006,"1100004":9243006,"1100005":9244006,"1100006":9245006,"1100007":9246006,}							0	90
2	4	1	0	1	{"1100001":8,"1100002":8,"1100003":8,"1100004":8,"1100005":8,"1100006":8,"1100007":8,}	{"1100001":6,"1100002":6,"1100003":6,"1100004":6,"1100005":6,"1100006":6,"1100007":2,}	功能類	單獨使用絕招訓練點數1次	{"1100001":9240007,"1100002":9241007,"1100003":9242007,"1100004":9243007,"1100005":9244007,"1100006":9245007,"1100007":9246007,}							0	90
2	4	8	0	1	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":5,}	功能類	連續使用絕招訓練點數8次以上	{"1100001":9240008,"1100002":9241008,"1100003":9242008,"1100004":9243008,"1100005":9244008,"1100006":9245008,"1100007":9246008,}							0	90
2	5	1	0	1	{"1100001":2,"1100002":2,"1100003":2,"1100004":2,"1100005":2,"1100006":2,"1100007":2,}	{"1100001":6,"1100002":6,"1100003":6,"1100004":6,"1100005":6,"1100006":6,"1100007":5,}	功能類	從後勤切回拳館( 有切換或裝備後勤 )	{"1100001":9240009,"1100002":9241009,"1100003":9242009,"1100004":9243009,"1100005":9244009,"1100006":9245009,"1100007":9246009,}							0	90
2	5	0	0	1	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":2,}	功能類	從後勤切回拳館( 無動作 )	{"1100001":9240010,"1100002":9241010,"1100003":9242010,"1100004":9243010,"1100005":9244010,"1100006":9245010,"1100007":9246010,}							0	90
2	6	1	0	1	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":2,}	功能類	倉庫=> 成功出售物品後,僅會顯示一次	{"1100001":9240011,"1100002":9241011,"1100003":9242011,"1100004":9243011,"1100005":9244011,"1100006":9245011,"1100007":9246011,}							0	90
2	6	0	0	1	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":11,}	{"1100001":7,"1100002":7,"1100003":7,"1100004":7,"1100005":7,"1100006":7,"1100007":5,}	功能類	倉庫切回拳館	{"1100001":9240012,"1100002":9241012,"1100003":9242012,"1100004":9243012,"1100005":9244012,"1100006":9245012,"1100007":9246012,}							0	90
2	7	1	0	1	{"1100001":2,"1100002":2,"1100003":2,"1100004":2,"1100005":2,"1100006":2,"1100007":2,}	{"1100001":6,"1100002":6,"1100003":6,"1100004":6,"1100005":6,"1100006":6,"1100007":2,}	功能類	裝備切回拳館( 有換裝 )	{"1100001":9240013,"1100002":9241013,"1100003":9242013,"1100004":9243013,"1100005":9244013,"1100006":9245013,"1100007":9246013,}							0	90
2	7	0	0	1	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":2,"1100002":2,"1100003":2,"1100004":2,"1100005":2,"1100006":2,"1100007":5,}	功能類	裝備切回拳館( 無換裝 )	{"1100001":9240014,"1100002":9241014,"1100003":9242014,"1100004":9243014,"1100005":9244014,"1100006":9245014,"1100007":9246014,}							0	90
2	8	2	0	1	{"1100001":7,"1100002":7,"1100003":7,"1100004":7,"1100005":7,"1100006":7,"1100007":7,}	{"1100001":1,"1100002":1,"1100003":1,"1100004":1,"1100005":1,"1100006":1,"1100007":1,}	功能類	切換角色=>購買角色	{"1100001":9240015,"1100002":9241015,"1100003":9242015,"1100004":9243015,"1100005":9244015,"1100006":9245015,"1100007":9246015,}							0	90
2	8	1	0	1	{"1100001":13,"1100002":13,"1100003":13,"1100004":13,"1100005":13,"1100006":13,"1100007":13,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":2,}	功能類	切換角色 切回拳館( 更換使用角色 )	{"1100001":9240016,"1100002":9241016,"1100003":9242016,"1100004":9243016,"1100005":9244016,"1100006":9245016,"1100007":9246016,}							0	90
2	8	0	0	1	{"1100001":9,"1100002":9,"1100003":9,"1100004":9,"1100005":9,"1100006":9,"1100007":9,}	{"1100001":6,"1100002":6,"1100003":6,"1100004":6,"1100005":6,"1100006":6,"1100007":5,}	功能類	切換角色 切回拳館( 當前使用角色 )	{"1100001":9240017,"1100002":9241017,"1100003":9242017,"1100004":9243017,"1100005":9244017,"1100006":9245017,"1100007":9246017,}							0	90
2	8	1	0	1	{"1100001":4,"1100002":4,"1100003":4,"1100004":4,"1100005":4,"1100006":4,"1100007":4,}	{"1100001":1,"1100002":1,"1100003":1,"1100004":1,"1100005":1,"1100006":1,"1100007":9,}	功能類	切換角色 切回拳館( 當前使用角色 )	{"1100001":9240018,"1100002":9241018,"1100003":9242018,"1100004":9243018,"1100005":9244018,"1100006":9245018,"1100007":9246018,}							0	90
1	9	1	0	1	{"1100001":15,"1100002":15,"1100003":15,"1100004":15,"1100005":15,"1100006":15,"1100007":15,}	{"1100001":7,"1100002":7,"1100003":7,"1100004":7,"1100005":7,"1100006":7,"1100007":5,}	功能類	商店切回大廳( 有購買物品 )	{"1100001":9240019,"1100002":9241019,"1100003":9242019,"1100004":9243019,"1100005":9244019,"1100006":9245019,"1100007":9246019,}							0	90
1	9	0	0	1	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":7,"1100002":7,"1100003":7,"1100004":7,"1100005":7,"1100006":7,"1100007":7,}	功能類	商店切回大廳( 無購買物品 )	{"1100001":9240020,"1100002":9241020,"1100003":9242020,"1100004":9243020,"1100005":9244020,"1100006":9245020,"1100007":9246020,}							0	90
1	10	1	0	1	{"1100001":12,"1100002":12,"1100003":12,"1100004":12,"1100005":12,"1100006":12,"1100007":12,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":1,}	功能類	特殊聯賽切回大廳(上一場比賽為勝利)	{"1100001":9240021,"1100002":9241021,"1100003":9242021,"1100004":9243021,"1100005":9244021,"1100006":9245021,"1100007":9246021,}							0	90
1	10	0	0	1	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":11,}	功能類	特殊聯賽切回大廳時(上一場比賽為失敗)	{"1100001":9240022,"1100002":9241022,"1100003":9242022,"1100004":9243022,"1100005":9244022,"1100006":9245022,"1100007":9246022,}							0	90
1	11	1	0	1	{"1100001":7,"1100002":7,"1100003":7,"1100004":7,"1100005":7,"1100006":7,"1100007":7,}	{"1100001":6,"1100002":6,"1100003":6,"1100004":6,"1100005":6,"1100006":6,"1100007":2,}	功能類	會外賽切回大廳時(上一場比賽為勝利)	{"1100001":9240023,"1100002":9241023,"1100003":9242023,"1100004":9243023,"1100005":9244023,"1100006":9245023,"1100007":9246023,}							0	90
1	11	0	0	1	{"1100001":3,"1100002":3,"1100003":3,"1100004":3,"1100005":3,"1100006":3,"1100007":3,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":10,}	功能類	會外賽切回大廳時(上一場比賽為失敗)	{"1100001":9240024,"1100002":9241024,"1100003":9242024,"1100004":9243024,"1100005":9244024,"1100006":9245024,"1100007":9246024,}							0	90
1	12	1	0	1	{"1100001":11,"1100002":11,"1100003":11,"1100004":11,"1100005":11,"1100006":11,"1100007":11,}	{"1100001":5,"1100002":5,"1100003":5,"1100004":5,"1100005":5,"1100006":5,"1100007":1,}	功能類	轉蛋切回大廳時( 有購買 )	{"1100001":9240025,"1100002":9241025,"1100003":9242025,"1100004":9243025,"1100005":9244025,"1100006":9245025,"1100007":9246025,}							0	90
1	12	0	0	1	{"1100001":12,"1100002":12,"1100003":12,"1100004":12,"1100005":12,"1100006":12,"1100007":12,}	{"1100001":1,"1100002":1,"1100003":1,"1100004":1,"1100005":1,"1100006":1,"1100007":1,}	功能類	轉蛋切回大廳時( 無購買 )	{"1100001":9240026,"1100002":9241026,"1100003":9242026,"1100004":9243026,"1100005":9244026,"1100006":9245026,"1100007":9246026,}							0	90
1	13	0	0	1	{"1100001":9,"1100002":9,"1100003":9,"1100004":9,"1100005":9,"1100006":9,"1100007":9,}	{"1100001":10,"1100002":10,"1100003":10,"1100004":10,"1100005":10,"1100006":10,"1100007":2,}	功能類	活動切回大廳時	{"1100001":9240027,"1100002":9241027,"1100003":9242027,"1100004":9243027,"1100005":9244027,"1100006":9245027,"1100007":9246027,}							0	90
