模組碼	等級	需求訓練點數	需求金額(遊戲幣)
1	1	1	100
1	2	1	500
1	3	1	1000
1	4	1	1500
1	5	1	2000
1	6	1	2500
1	7	1	3000
1	8	1	3500
1	9	1	4000
1	10	1	4500
1	11	2	5000
1	12	2	5500
1	13	2	6000
1	14	2	6500
1	15	2	7000
1	16	2	7500
1	17	2	8000
1	18	2	8500
1	19	2	9000
1	20	2	9500
1	21	2	10000
1	22	2	10500
1	23	2	11000
1	24	2	11500
1	25	2	12000
1	26	3	12500
1	27	3	13000
1	28	3	13500
1	29	3	14000
1	30	3	14500
1	31	3	15000
1	32	3	15500
1	33	3	16000
1	34	3	16500
1	35	3	17000
1	36	3	17500
1	37	3	18000
1	38	3	18500
1	39	3	19000
1	40	3	19500
1	41	4	20000
1	42	4	21000
1	43	4	22000
1	44	4	23000
1	45	4	24000
1	46	4	25000
1	47	4	26000
1	48	4	27000
1	49	4	28000
1	50	4	29000
1	51	4	30000
1	52	4	31000
1	53	4	32000
1	54	4	33000
1	55	4	34000
1	56	4	35000
1	57	4	36000
1	58	4	37000
1	59	4	38000
1	60	4	39000
1	61	5	40000
1	62	5	45000
1	63	5	50000
1	64	5	55000
1	65	5	60000
1	66	5	65000
1	67	5	70000
1	68	5	75000
1	69	5	80000
1	70	5	85000
1	71	5	90000
1	72	5	95000
1	73	5	100000
1	74	5	105000
1	75	5	110000
1	76	5	115000
1	77	5	120000
1	78	5	125000
1	79	5	130000
1	80	5	135000
1	81	6	140000
1	82	6	145000
1	83	6	150000
1	84	6	155000
1	85	6	160000
1	86	6	165000
1	87	6	170000
1	88	6	175000
1	89	6	180000
1	90	6	185000
1	91	7	190000
1	92	7	195000
1	93	7	200000
1	94	7	205000
1	95	7	210000
1	96	7	215000
1	97	7	220000
1	98	7	225000
1	99	7	230000
2	1	1	100
2	2	1	500
2	3	1	1000
2	4	1	1500
2	5	1	2000
2	6	1	2500
2	7	1	3000
2	8	1	3500
2	9	1	4000
2	10	1	4500
2	11	2	5000
2	12	2	5500
2	13	2	6000
2	14	2	6500
2	15	2	7000
2	16	2	7500
2	17	2	8000
2	18	2	8500
2	19	2	9000
2	20	2	9500
2	21	2	10000
2	22	2	10500
2	23	2	11000
2	24	2	11500
2	25	2	12000
2	26	3	12500
2	27	3	13000
2	28	3	13500
2	29	3	14000
2	30	3	14500
2	31	3	15000
2	32	3	15500
2	33	3	16000
2	34	3	16500
2	35	3	17000
2	36	3	17500
2	37	3	18000
2	38	3	18500
2	39	3	19000
2	40	3	19500
2	41	4	20000
2	42	4	21000
2	43	4	22000
2	44	4	23000
2	45	4	24000
2	46	4	25000
2	47	4	26000
2	48	4	27000
2	49	4	28000
