專屬碼	名稱	說明	技能模式	施放對象	附加作用類型	傷害轉換率	購買限制等級(拳館)	可閃躲/防禦	裝備限制等級(角色)	動作	鏡頭	音效	特效	ICON	傷害	成功機率	怒氣消耗	血量限制	冷卻時間	拳種屬性	強化屬性1升級花費模組	強化屬性2升級花費模組	強化屬性3升級花費模組	強化屬性4升級花費模組	強化屬性顯示配置(1傷害2成功機率3怒氣消耗4血量限制5冷卻時間)
0301001	9030001	9130001	1	1	{"1":{"type":4,"base":4,"grow":0}}	0.00	7	1	4	1001	Camera_Skill01	["FX_SlowMotion","Punch_HookHitO"]	["FX_SkillLaunch_g","FX_Skill_S1","FX_Trail","FX_Skill_Hit","FX_GasBall"]	UI_Skill_Icon_S01	[80,2.5,1,1]	[100,0]	[60,-0.2]	[0.8,0.002]	[18,-0.1]	3	1	3	4	5	[1,3,4,5]
0301002	9030002	9130002	1	1	{"1":{"type":22,"base":5,"grow":0}}	0.00	10	2	8	1002	Camera_Skill02	["FX_SlowMotion","Punch_HookHitO","Punch_xiu_2","Punch_xiu_3"]	["FX_SkillL_G","FX_Skill_S2","FX_Skill_Trail","FX_Skill_S2F","FX_Skill_Hit"]	UI_Skill_Icon_S02	[90,2.5,1,1]	[100,0]	[60,-0.2]	[0.8,0.002]	[18,-0.1]	2	1	3	4	5	[1,3,4,5]
0301003	9030003	9130003	1	1	{}	0.00	20	0	18	1003	Camera_Skill03	["FX_SlowMotion","Punch_HookHitO"]	["FX_Skill_Trail","FX_Skill_Hit"]	UI_Skill_Icon_S03	[20,0.7,1,4]	[100,0]	[80,-0.2]	[0.6,0.002]	[20,-0.1]	2	1	3	4	5	[1,3,4,5]
0301004	9030004	9130004	1	1	{"1":{"type":6,"base":5,"grow":0}}	0.00	10	2	8	1004	Camera_Skill04	["FX_SlowMotion","Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_S4","FX_Skill_Trail","FX_Skill_Hit"]	UI_Skill_Icon_S04	[80,2.5,1,1]	[100,0]	[60,-0.2]	[0.8,0.002]	[18,-0.1]	1	1	3	4	5	[1,3,4,5]
0301005	9030005	9130005	1	1	{}	0.00	25	0	25	1005	Camera_Skill05	["Punch_HookHitO"]	["FX_Skill_S5","FX_Skill_Trail","FX_Skill_Hit"]	UI_Skill_Icon_S05	[25,0.5,3,1]	[100,0]	[100,-0.2]	[0.4,0.002]	[30,-0.1]	2	1	3	4	5	[1,3,4,5]
0301006	9030006	9130006	1	2	{}	0.00	20	0	20	1006	Camera_Skill08	[]	["FX_Skill06_G"]	UI_Skill_Icon_S06	[5,0.03,7,1]	[100,0]	[80,-0.2]	[0.6,0.002]	[20,-0.1]	1	1	3	4	5	[1,3,4,5]
0301007	9030007	9130007	1	1	{}	0.00	15	0	10	1007	Camera_Skill07	["Punch_HookHitO","Punch_xiu_3"]	["FX_SkillL_G","FX_Skill_S7","FX_Skill_Trail","FX_Skill_Hit"]	UI_Skill_Icon_S07	[150,2.5,1,1]	[80,0]	[80,-0.2]	[0.6,0.002]	[20,-0.1]	3	1	3	4	5	[1,3,4,5]
0301008	9030008	9130008	1	2	{}	0.00	10	0	8	1008	Camera_Skill08	[]	["FX_Skill08_G"]	UI_Skill_Icon_S08	[150,3,20,1]	[100,0]	[100,-0.2]	[0.4,0.004]	[25,-0.1]	0	1	3	4	5	[1,3,4,5]
0301009	9030009	9130009	1	1	{"1":{"type":4,"base":4,"grow":0}}	0.00	20	1	15	1009	Camera_Skill09	["FX_SlowMotion","Punch_HookHitO"]	["FX_Skill09_G","FX_Skill_Trail","FX_Skill_Hit"]	UI_Skill_Icon_S09	[100,3,1,1]	[100,0]	[80,-0.2]	[0.6,0.002]	[20,-0.1]	2	1	3	4	5	[1,3,4,5]
0301010	9030010	9130010	1	1	{}	0.20	30	0	29	1010	Camera_Skill10	["FX_SlowMotion","Punch_HookHitO"]	["FX_SkillL_G","FX_Skill_S10"]	UI_Skill_Icon_S10	[30,0.5,2,1]	[100,0]	[100,-0.2]	[0.4,0.002]	[30,-0.1]	3	1	3	4	5	[1,3,4,5]
