0.章節	1.(0開始 1結束)	2.角色語音(沒填就一定播)	3.CG名稱	4.左角色名稱	5.中角色名稱	6.右角色名稱	7.對話角色 (0無1左2中3右)	8.對話內容	9.左角色表情	10.中角色表情	11.右角色表情	12.啟動角色(CG不用填)
3201030	1	1100001	Role_CG_001				0	9112059				
			Role_CG_001				0	9112060				
			Role_CG_001				0	9112061				
			Role_CG_001				0	9112062				
			Role_CG_001				0	9112063				
3201060	0	1100001		1100001		1100004	3	9211430	Erina_surprise		Meisa_normal	1100001
				1100001		1100004	1	9211131	Erina_shy		Meisa_normal	1100001
				1100001		1100004	3	9211431	Erina_shy		Meisa_shy	1100001
				1100001		1100004	1	9211132	Erina_surprise		Meisa_shy	1100001
				1100001		1100004	3	9211432	Erina_surprise		Meisa_shy	1100001
				1100001		1100004	1	9211133	Erina_bigsmile		Meisa_shy	1100001
				1100001		1100004	3	9211433	Erina_bigsmile		Meisa_sad	1100001
				1100001		1100004	1	9211134	Erina_sad		Meisa_sad	1100001
				1100001		1100004	3	9211434	Erina_sad		Meisa_angry	1100001
				1100001		1100004	3	9211435	Erina_sad		Meisa_kirakira	1100001
				1100001		1100004	1	9211135	Erina_bigsmile		Meisa_kirakira	1100001
				1100001		1100004	3	9211436	Erina_bigsmile		Meisa_smile	1100001
				1100001		1100004	1	9211136	Erina_normal		Meisa_smile	1100001
3201090	0	1100001		1100001		1100002	3	9211231	Erina_surprise		Hinada_closeeye	1100001
				1100001		1100002	1	9211137	Erina_normal		Hinada_closeeye	1100001
				1100001		1100002	3	9211232	Erina_normal		Hinada_shy	1100001
				1100001		1100002	1	9211138	Erina_normal		Hinada_shy	1100001
				1100001		1100002	3	9211233	Erina_normal		Hinada_sad	1100001
				1100001		1100002	3	9211234	Erina_surprise		Hinada_smile	1100001
				1100001		1100002	3	9211235	Erina_surprise		Hinada_moreangry	1100001
				1100001		1100002	1	9211139	Erina_angry		Hinada_angry	1100001
				1100001		1100002	3	9211236	Erina_angry		Hinada_shy	1100001
				1100001		1100002	1	9211140	Erina_moreangry		Hinada_closeeye	1100001
3201090	1	1100001	Role_CG_005				0	9112064				
			Role_CG_005				0	9112065				
			Role_CG_005				0	9112066				
			Role_CG_005				0	9112067				
			Role_CG_005				0	9112068				
			Role_CG_005				0	9112069				
1001180	1		Role_CG_101				0	9112001				
			Role_CG_101				0	9112002				
			Role_CG_101				0	9112003				
1002180	1		Role_CG_201				0	9112004				
			Role_CG_201				0	9112005				
			Role_CG_201				0	9112006				
1003180	1		Role_CG_301				0	9112007				
			Role_CG_301				0	9112008				
			Role_CG_301				0	9112009				
			Role_CG_301				0	9112010				
			Role_CG_301				0	9112011				
			Role_CG_301				0	9112012				
1004180	1		Role_CG_401				0	9112013				
			Role_CG_401				0	9112014				
			Role_CG_401				0	9112015				
			Role_CG_401				0	9112016				
			Role_CG_401				0	9112017				
1005180	1		Role_CG_501				0	9112018				
			Role_CG_501				0	9112019				
			Role_CG_501				0	9112020				
			Role_CG_501				0	9112021				
			Role_CG_501				0	9112022				
			Role_CG_501				0	9112023				
			Role_CG_501				0	9112024				
			Role_CG_501				0	9112025				
1006180	1		Role_CG_601				0	9112027				
			Role_CG_601				0	9112028				
			Role_CG_601				0	9112029				
			Role_CG_601				0	9112030				
			Role_CG_601				0	9112031				
			Role_CG_601				0	9112032				
			Role_CG_601				0	9112033				
			Role_CG_601				0	9112034				
1007090	0	1100001		1100001		1100007	3	9211713	Erina_normal		Mizuki_closeeye	1100001
				1100001		1100007	1	9211141	Erina_surprise		Mizuki_serious	1100001
				1100001		1100007	3	9211714	Erina_surprise		Mizuki_closeeye	1100001
				1100001		1100007	1	9211142	Erina_moreangry		Mizuki_serious	1100001
				1100001		1100007	3	9211715	Erina_angry		Mizuki_serious	1100001
				1100001		1100007	1	9211143	Erina_normal		Mizuki_closeeye	1100001
				1100001		1100007	3	9211716	Erina_angry		Mizuki_closeeye	1100001
1007090	1		Role_CG_701				0	9112035				
			Role_CG_701				0	9112036				
			Role_CG_701				0	9112037				
			Role_CG_701				0	9112038				
			Role_CG_701				0	9112039				
1007180	0	1100001		1100001		1100007	1	9211144	Erina_normal		Mizuki_closeeye	1100001
				1100001		1100007	3	9211717	Erina_angry		Mizuki_shy	1100001
				1100001		1100007	3	9211718	Erina_normal		Mizuki_sad	1100001
				1100001		1100007	1	9211145	Erina_sad		Mizuki_sad	1100001
				1100001		1100007	3	9211719	Erina_surprise		Mizuki_mad	1100001
				1100001		1100007	1	9211146	Erina_moreangry		Mizuki_closeeye	1100001
1007180	1		Role_CG_702				0	9112070				
			Role_CG_702				0	9112071				
			Role_CG_702				0	9112072				
			Role_CG_702				0	9112073				
			Role_CG_702				0	9112074				
1008090	0			1100001		1100007	3	9211720	Erina_normal		Mizuki_closeeye	1100001
				1100001		1100007	1	9211147	Erina_moreangry		Mizuki_serious	1100001
				1100001		1100007	1	9211148	Erina_angry		Mizuki_serious	1100001
				1100001		1100007	3	9211721	Erina_angry		Mizuki_angry	1100001
				1100001		1100007	1	9211149	Erina_normal		Mizuki_serious	1100001
				1100001		1100007	3	9211722	Erina_angry		Mizuki_closeeye	1100001
1008090	1		Role_CG_901				0	9112040				
			Role_CG_901				0	9112041				
			Role_CG_901				0	9112042				
			Role_CG_901				0	9112043				
1008180	0			1100001		1100007	1	9211150	Erina_normal		Mizuki_closeeye	1100001
				1100001		1100007	3	9211723	Erina_angry		Mizuki_serious	1100001
				1100001		1100007	3	9211724	Erina_surprise		Mizuki_closeeye	1100001
				1100001		1100007	1	9211151	Erina_moreangry		Mizuki_serious	1100001
				1100001		1100007	3	9211725	Erina_angry		Mizuki_closeeye	1100001
				1100001		1100007	1	9211152	Erina_moreangry		Mizuki_closeeye	1100001
				1100001		1100007	3	9211726	Erina_angry		Mizuki_serious	1100001
				1100001		1100007	1	9211153	Erina_moreangry		Mizuki_closeeye	1100001
				1100001		1100007	3	9211727	Erina_surprise		Mizuki_mad	1100001
1008180	1		Role_CG_802				0	9112075				
			Role_CG_802				0	9112076				
			Role_CG_802				0	9112077				
			Role_CG_802				0	9112078				
			Role_CG_802				0	9112079				
			Role_CG_802				0	9112080				
1009090	0			1100001		1100007	1	9211154	Erina_moreangry		Mizuki_closeeye	1100001
				1100001		1100007	3	9211728	Erina_angry		Mizuki_closeeye	1100001
				1100001		1100007	1	9211155	Erina_moreangry		Mizuki_serious	1100001
				1100001		1100007	1	9211156	Erina_shy		Mizuki_serious	1100001
				1100001		1100007	1	9211157	Erina_moreangry		Mizuki_closeeye	1100001
				1100001		1100007	3	9211729	Erina_angry		Mizuki_closeeye	1100001
				1100001		1100007	1	9211158	Erina_moreangry		Mizuki_serious	1100001
1009090	1		Role_CG_801				0	9112044				
			Role_CG_801				0	9112045				
			Role_CG_801				0	9112046				
1009180	0			1100001		1100007	3	9211730	Erina_angry		Mizuki_serious	1100001
				1100001		1100007	1	9211159	Erina_moreangry		Mizuki_closeeye	1100001
				1100001		1100007	1	9211160	Erina_normal		Mizuki_serious	1100001
				1100001		1100007	3	9211731	Erina_angry		Mizuki_closeeye	1100001
				1100001		1100007	3	9211732	Erina_surprise		Mizuki_mad	1100001
				1100001		1100007	1	9211161	Erina_surprise		Mizuki_mad	1100001
				1100001		1100007	3	9211733	Erina_surprise		Mizuki_sad	1100001
				1100001		1100007	3	9211734	Erina_angry		Mizuki_mad	1100001
				1100001		1100007	3	9211735	Erina_angry		Mizuki_sad	1100001
				1100001		1100007	3	9211736	Erina_normal		Mizuki_serious	1100001
				1100001		1100007	3	9211737	Erina_angry		Mizuki_angry	1100001
				1100001		1100007	1	9211162	Erina_surprise		Mizuki_closeeye	1100001
1009180	1		Role_CG_902				0	9112081				
