專屬碼	名稱	需求裝備	獲得技能	啟動件數	變身ID
0601001	番長套裝	["","0102051","0103051","","0105051","0106051"]		4	
0601002	女僕套裝	["","0102052","0103052","","0105052","0106052"]		4	
0601003	OL套裝	["","0102053","0103053","","0105053","0106053"]		4	
0601004	護士套裝	["","0102054","0103054","","0105054","0106054"]		4	
0601005	學生套裝	["","0102055","0103055","","0105055","0106055"]		4	
0601006	運動服套裝	["","0102056","0103056","","0105056","0106056"]		4	
0601007	女警套裝	["","0102057","0103057","","0105057","0106057"]		4	
0601008	自衛隊套裝	["","0102058","0103058","","0105058","0106058"]		4	
0601009	祭典套裝	["","0102059","0103059","","0105059","0106059"]		4	
0601010	旗袍套裝	["","0102060","0103060","","0105060","0106060"]		4	
0601011	鬼套裝	["","0102061","0103061","","0105061","0106061"]		4	
0601012	龍套裝	["","0102062","0103062","","0105062","0106062"]		4	
0601013	狂牛	["","0102030","0103020","","",""]		2	
0601014	聖羅可少女	["","0102102","0103021","","0105102",""]		3	
0601015	帶刺的女孩	["","0102029","0103012","","0105012",""]		3	
0601016	愛心便當	["","0102047","0103022","","0105019",""]		3	
0601017	千穗丘少女	["","0102105","","","0105105",""]		2	
0601018	蒲田少女	["","0102104","","","0105104",""]		2	
0601019	板前少女	["","0102101","0103016","","0105101",""]		3	
0601020	口袋裡的點心	["","0102042","","","0105509",""]		2	
0601021	傭兵	["","0102025","0103502","","0105503",""]		3	
0601022	易怒	["","0102040","0103501","","",""]		2	
0601023	華麗少女	["","","0103007","","0105007",""]		2	
0601024	聖誕套裝	["","0102075","0103066","","0105067","0106068"]		4	
0601025	魔術	["","0102074","0103065","","0105066","0106067"]		4	
0601026	睡羊	["","0102077","0103067","","0105068","0106069"]		4	
0601027	猴王	["0101057","0102078","0103068","","0105069",""]		4	
0601028	天使	["","0102080","0103015","","0105070","0106075"]		4	
0601029	薑餅	["","0102079","0103069","","0105071","0106073"]		4	
0601030	儀隊	["","0102086","0103070","","0105072","0106074"]		4	
0601031	紅心	["","0102089","0103072","","0105074","0106072"]		4	
0601032	愛麗絲	["","0102090","0103073","","0105075","0106076"]		4	
0601033	新年	["0101058","0102092","0103074","","0105076",""]		4	
0601034	包子	["0101060","0102091","0103075","","0105077",""]		4	
0601035	巧克力	["","0102093","0103076","","0105078","0106077"]		4	
0601036	情人節	["","0102094","0103077","","0105079","0106078"]		4	
0601037	甜心	["","0102095","0103078","","0105080","0106079"]		4	
0601038	黑巫	["","0102096","0103079","","0105081","0106080"]		4	
0601039	忠狗	["","0102097","0103080","","0105082",""]		3	
0601040	櫻浴衣	["","0102098","0103081","","0105083","0106081"]		4	
0601041	巫女	["0101062","0102099","0103082","","0105084",""]		4	
0601042	夏日	["","0102100","0103083","","0105085","0106082"]		4	
0601043	忍者	["","0102201","0103084","","0105086","0106083"]		4	
0601044	嫁衣1	["","0102202","0103085","","0105087","0106084"]		4	
0601045	嫁衣2	["","0102203","0103086","","0105088","0106085"]		4	
0601046	嫁衣3	["","0102204","0103087","","0105089","0106086"]		4	
0601047	萬鬼	["","0102066","0103063","","0105064","0106064"]		4	
0601048	皮衣	["","0102205","0103088","","0105090","0106087"]		4	
0601049	劍擊	["","0102206","0103089","","0105091","0106088"]		4	
0601050	足球	["","0102207","0103090","","0105092","0106089"]		4	
0601051	棒球	["","0102208","0103091","","0105093","0106090"]		4	
0601052	偶像	["","0102209","0103092","","0105094","0106091"]		4	
0601053	電音	["","0102210","0103093","","0105095","0106092"]		4	
0601054	甜美	["","0102211","0103094","","0105096","0106093"]		4	
0601055	喧嘩	["","0102212","0103095","","0105097",""]		3	
0601056	影華	["","0102213","0103096","","0105098",""]		3	
0601057	百華	["","0102214","0103097","","0105099",""]		3	
0601058	帝華	["","0102215","0103098","","0105100",""]		3	
0601059	愛莉	["0101073","0102228","0103103","","0105204",""]		4	
0601060	乳神	["0101053","0102072","0103064","","","0106070"]		4	
0601061	夏日比基尼	["","0102230","0103104","","0105203","0106097"]		4	
0601062	夏日冰淇淋	["0101066","0102231","0103105","","0105204",""]		3	
0601063	西部牛仔	["","0102232","0103106","","0105205","0106098"]		4	
0601064	仙人掌	["","0102233","0103107","","0105206","0106099"]		4	
0601065	舞孃	["","0102238","0103108","","0105208","0106100"]		4	
0601066	新套裝	["","0102239","0103109","","0105209","0106101"]		4	
0601067	異色番長	["","0102651","0103651","","0105651","0106651"]		4	
0601068	異色護士	["","0102654","0103654","","0105654","0106654"]		4	
0601069	異色迷彩	["","0102658","0103658","","0105658","0106658"]		4	
0601070	異色旗袍	["","0102660","0103660","","0105660","0106660"]		4	
0601071	異色萬鬼	["","0102666","0103663","","0105664","0106664"]		4	
