key	value
IAP_WeekItem	Same privileges as the Monthly Card pack: get ## Diamonds on purchase and add @@ days to your Monthly Card. Can be bought repeatedly; days accumulate.
HallRoadLevelUpMax	The Gym level has reached its maximum.
MakeBlueprint	[FF000A] The blueprint will be consumed during synthesis. The star rating and other attributes of the original blueprint will not be carried over.[-]
TimesError	The limited number of uses could not be reached. (Not used)
AttackPower	Attack power
ThePower	status
Http_1017	I cannot log in.
Push_APIsFullSub	Big brother, please come home soon. Energy fully recovered!
Activity_NowAmount	Current quantity
Activity_NowProgress	Current progress
ActivityItemAcc	Collect ## @@ in total to receive a gift
ActivityItemExchange	Collect ## @@ to exchange
ActivityExchangeNeedItemOne	Collectible items (one-time only)
ActivityExchangeNeedItemMany	Collectible items (exchange for duplicates)
SkillCell2	Second skill
LoginSDK	UC 9Game
Friend_Max	Number of friends:
Friend_TodayGetAP	Receiving AP:
Friend_LoginTime	##Login
Friend_GiveAP	present
Friend_HasGiveAP	It has already been given as a gift.
Friend_InviteNote	Friend Search
Friend_InviteError	The user does not exist.
Friend_InviteAgain	Apply
Friend_InviteFull	The other person has the maximum number of friends.
Friend_Get	## You will earn AP.
Friend_View	Friend verification
Friend_Del	Delete friend
Friend_AllRefused	Reject all
Friend_Refused	rejection
Friend_Full	Your friend list is full.
Friend_InviteNullNote	Invite your friends!
Friend_GoInvite	invitation
Friend_CheckDel	Do you want to delete friend ##?
Friend_GetAP	Receipt
Friend_HasGetAP	Received
Friend_GiveAll	Bulk delivery
Friend_GetAll	Lump-sum payment
Friend_GetAskOK	I already have a friend request.
Friend_GetGiveK	AP gift completed.
Friend_AcceptedOK	admit
Friend_RefusedOK	rejection
Friend_AskErrorSelf	Your application failed. You cannot apply to yourself.
Friend_AskErrorFriend	Your application failed. You have already submitted an application.
Friend_SearchError	The search could not be completed.
LobbySpecialBattle	Special match
StoreBuyOK	Purchase successful
LobbyFriend	friend
MakerFragment	List of materials
FragmentMaterial	Required materials
MaybeFallBlueprint	Droppable blueprints
Friend_MaxTodayGetAP	You have reached your receiving limit.
Error_FilterPlayerName1	The characters you entered contain special symbols.
Error_FilterPlayerName2	The characters you entered contain characters that cannot be used.
DownloadRoleAudio	Downloading audio...
Battle_Button_Title	Button operation
Battle_Button_Description	Tap to jab, tap one button to dodge, and press both sides to guard.
Battle_Slide_Title	Swipe
Battle_Slide_Description	Slide to the side to activate a hook, and slide upwards to activate an uppercut.
VIP_Title	Monthly Card Privileges
VIP_Info	Besides its privileges, buying the Monthly Card grants ## Diamonds immediately!
VIP_Mission1	Get ## Diamonds every day
VIP_Mission2	Get ## Skip Ticket(s) every day
VIP_BuyAP	Energy purchases per day increased from ## to @@
VIP_BuyTP	Training Point purchases per day increased from ## to @@
VIP_MaxTP	Max Training Points increased from ## to @@
VIP_ResetElite	Unlocks Elite stage reset, ## time(s) per day
VIP_ChangeCoin	Gold conversion uses per day increased from ## to @@
VIP_UnlockSkill2	Once the skill system opens, the [c]second[-] skill is unlocked immediately
Attribute_Jab	Attack speed increases, and the opponent's durability decreases continuously.
Attribute_Hook	It can block other attacks.
Attribute_Upper	You can break through the defenses of an opponent whose consciousness is clouded.
Attribute_Spirit	If the value is high, you won't faint easily.
Attribute_Vigor	HP increase
VolumeSetting	Volume settings
VolumeMusic	BGM volume
VolumeSound	SE volume
VolumeRoleAudio	VOICE volume
ShowStory	Show story
EquipToFragment	This will convert your equipment into fragments.
DropAdd	Additional drops
DropAddValue	##@@ items were obtained.
Evaluation_NoWay	Do not show this again.
Evaluation_Tucao	？003
Evaluation_Move	Move to evaluate
AskLoadingText	The download size is approximately ##MB. Wi-Fi is recommended.
AskSoundLoadingText	The download size is approximately ##MB.
AddTraining	We will increase your enhancement points by ## points.
PlusBuff_Buff	Grant
PlusBuff_Clear	Reset
PlusBuff_Item	Adds random attribute [-] [FFC800]##.
PlusBuff_CoinGeneral	Game money awarded: Random [FFC800] 1 to 30 points [-]
PlusBuff_CoinVirtual	Diamond reward: Random [FFC800] 20-40 points [-]
PlusBuff_CoinNotEnough	Insufficient funds
PlusBuff_Crit	critical
PlusBuff_Lv	level
PlusBuff_Damage	damage
PlusBuff_Blood	HP
PlusBuff_Reply	recovery
PlusBuff_Addition	bonus
PlusBuff_Speed	speed
PlusBuff_Jab	jab
PlusBuff_Hook	hook
PlusBuff_Upper	upper
PlusBuff_Parameter	Enhancement
PlusBuff_Information	Granted information
PlusBuff_SelectNull	Please select the parts you wish to add.
PlusBuff_SelectAmount	Insufficient number of parts provided
PlusBuff_AmountLimit	The maximum number of times you can receive this has been reached.
PlusBuff_Enter	confirmation
PlusBuff_Canel	cancel
PlusBuff_CheckContent	Do you want to consume ## and add \n?
PlusBuff_Result	Grant result
PlusBuff_EquipInfoNull	There is no way to equip the documents.
PlusBuff_EquipNotOwn	This equipment is not available.
PlusBuff_SlotCountZero	Currently, there is no way to add a demon.
PlusBuff_CheckClear	[2BE239]##[-] Do you want to confirm clearing the top and adding demons? \n[EEEA35](After clearing, the top of the equipment will have demons added and everything will disappear!\nThere is no way to get compensation for excess!)[-]
LobbyWish	recycling
Wish_ActiveDuring	Event period
Wish_ActiveExplanation	Event Description
Wish_ContentDetail	Detailed information
Wish_Consumables	Consumables
Wish_Lottery	Currency exchange
Wish_Date	MM/dd
Wish_Close	Event not yet started
ChapterCondition	Victory conditions
ChapterResult	Match results
ChapterConditionLimit	cannot
ChapterConditionFight	Extermination
