專屬碼	名稱	說明	模式	類型	目標	需求量	獎勵	前置
3000001	9080001	9180001	1	1	0	1	{"0202005":2}	
3000002	9080002	9180002	1	1	0	2	{"0202005":5}	3000001
3000003	9080003	9180003	1	1	0	3	{"0202005":10}	3000002
3000004	9080004	9180004	1	1	0	4	{"0202005":15}	3000003
3000005	9080005	9180005	1	1	0	5	{"0202005":20}	3000004
3000006	9080006	9180006	1	1	0	6	{"0202005":30}	3000005
3005004	9080504	9180504	1	2	1001150	1	{"0511001":10,"gcoin":3000}	3005010
3005005	9080505	9180505	1	2	1001033	3	{"0511007":10,"gcoin":3000}	
3005006	9080506	9180506	1	2	1001063	3	{"0511014":20,"gcoin":3000}	3005005
3005007	9080507	9180507	1	2	1001093	3	{"0511019":10,"gcoin":3000}	3005006
3005008	9080508	9180508	1	2	1001123	3	{"0511025":10,"gcoin":3000}	3005007
3005009	9080509	9180509	1	2	1001153	3	{"0511014":20,"gcoin":3000}	3005008
3005010	9080510	9180510	1	2	1001120	1	{"vcoin":10}	
3005011	9080511	9180511	1	2	1001180	1	{"vcoin":10}	3005004
3005012	9080512	9180512	1	2	1002030	1	{"vcoin":10}	3005011
3005013	9080513	9180513	1	2	1002060	1	{"vcoin":10}	3005012
3005014	9080514	9180514	1	2	1002090	1	{"vcoin":10}	3005013
3005015	9080515	9180515	1	2	1002120	1	{"vcoin":10}	3005014
3005016	9080516	9180516	1	2	1002150	1	{"vcoin":10}	3005015
3005017	9080517	9180517	1	2	1002180	1	{"vcoin":10}	3005016
3005018	9080518	9180518	1	2	1003030	1	{"vcoin":10}	3005017
3005019	9080519	9180519	1	2	1003060	1	{"vcoin":10}	3005018
3005020	9080520	9180520	1	2	1003090	1	{"vcoin":10}	3005019
3005021	9080521	9180521	1	2	1003120	1	{"vcoin":10}	3005020
3005022	9080522	9180522	1	2	1003150	1	{"vcoin":10}	3005021
3005023	9080523	9180523	1	2	1003180	1	{"vcoin":10}	3005022
3005024	9080524	9180524	1	2	1004030	1	{"vcoin":10}	3005023
3005025	9080525	9180525	1	2	1004060	1	{"vcoin":20}	3005024
3005026	9080526	9180526	1	2	1004090	1	{"vcoin":20}	3005025
3005027	9080527	9180527	1	2	1004120	1	{"vcoin":20}	3005026
3005028	9080528	9180528	1	2	1004150	1	{"vcoin":20}	3005027
3005029	9080529	9180529	1	2	1004180	1	{"vcoin":20}	3005028
3005030	9080530	9180530	1	2	1005030	1	{"vcoin":20}	3005029
3005031	9080531	9180531	1	2	1005060	1	{"vcoin":20}	3005030
3005032	9080532	9180532	1	2	1005090	1	{"vcoin":20}	3005031
3005033	9080533	9180533	1	2	1005120	1	{"vcoin":20}	3005032
3005034	9080534	9180534	1	2	1005150	1	{"vcoin":20}	3005033
3005035	9080535	9180535	1	2	1005180	1	{"vcoin":20}	3005034
3005036	9080536	9180536	1	2	1006030	1	{"vcoin":30}	3005035
3005037	9080537	9180537	1	2	1006060	1	{"vcoin":30}	3005036
3005038	9080538	9180538	1	2	1006090	1	{"vcoin":30}	3005037
3005039	9080539	9180539	1	2	1006120	1	{"vcoin":30}	3005038
3005040	9080540	9180540	1	2	1006150	1	{"vcoin":30}	3005039
3005041	9080541	9180541	1	2	1006180	1	{"vcoin":30}	3005040
3005042	9080542	9180542	1	2	1007030	1	{"vcoin":30}	3005041
3005043	9080543	9180543	1	2	1007060	1	{"vcoin":30}	3005042
3005044	9080544	9180544	1	2	1007090	1	{"vcoin":30}	3005043
3005045	9080545	9180545	1	2	1007120	1	{"vcoin":30}	3005044
3005046	9080546	9180546	1	2	1007150	1	{"vcoin":30}	3005045
3005047	9080547	9180547	1	2	1007180	1	{"vcoin":30}	3005046
3005048	9080548	9180548	1	2	1008030	1	{"vcoin":40}	3005047
3005049	9080549	9180549	1	2	1008060	1	{"vcoin":40}	3005048
3005050	9080550	9180550	1	2	1008090	1	{"vcoin":40}	3005049
3005051	9080551	9180551	1	2	1008120	1	{"vcoin":40}	3005050
3005052	9080552	9180552	1	2	1008150	1	{"vcoin":40}	3005051
3005053	9080553	9180553	1	2	1008180	1	{"vcoin":40}	3005052
3005054	9080554	9180554	1	2	1009030	1	{"vcoin":40}	3005053
3005055	9080555	9180555	1	2	1009060	1	{"vcoin":40}	3005054
3005056	9080556	9180556	1	2	1009090	1	{"vcoin":40}	3005055
3005057	9080557	9180557	1	2	1009120	1	{"vcoin":40}	3005056
3005058	9080558	9180558	1	2	1009150	1	{"vcoin":40}	3005057
3005059	9080559	9180559	1	2	1009180	1	{"vcoin":40}	3005058
3005060	9080560	9180560	1	2	1010030	1	{"vcoin":50}	3005059
3005061	9080561	9180561	1	2	1010060	1	{"vcoin":50}	3005060
3005062	9080562	9180562	1	2	1010090	1	{"vcoin":50}	3005061
3005063	9080563	9180563	1	2	1010120	1	{"vcoin":50}	3005062
3005064	9080564	9180564	1	2	1010150	1	{"vcoin":50}	3005063
3005065	9080565	9180565	1	2	1010180	1	{"vcoin":50}	3005064
3002001	9080301	9180301	1	4	2	1	{"gcoin":2500}	
3002002	9080302	9180302	1	4	2	6	{"gcoin":5000}	3002001
3002003	9080303	9180303	1	4	3	1	{"gcoin":7500}	3002001
3002004	9080304	9180304	1	4	3	6	{"gcoin":10000}	3002003
3002005	9080305	9180305	1	4	4	1	{"gcoin":12500}	3002003
3002006	9080306	9180306	1	4	4	6	{"gcoin":15000}	3002005
3002007	9080307	9180307	1	4	5	1	{"gcoin":17500}	3002005
3002008	9080308	9180308	1	4	5	6	{"gcoin":20000}	3002007
3002009	9080309	9180309	1	4	6	1	{"gcoin":22500}	3002007
3002010	9080310	9180310	1	4	6	6	{"gcoin":25000}	3002009
3003001	9080401	9180401	1	5	102	10	{"vcoin":50}	
3003002	9080402	9180402	1	5	102	25	{"vcoin":100}	3003001
3003003	9080403	9180403	1	5	103	15	{"vcoin":50}	
3003004	9080404	9180404	1	5	103	25	{"vcoin":100}	3003003
3003005	9080405	9180405	1	5	105	15	{"vcoin":50}	
3003006	9080406	9180406	1	5	105	25	{"vcoin":100}	3003005
3003007	9080407	9180407	1	5	101	10	{"vcoin":50}	
3003008	9080408	9180408	1	5	101	20	{"vcoin":100}	3003007
3003009	9080409	9180409	1	5	106	5	{"vcoin":30}	
3003010	9080410	9180410	1	5	106	10	{"vcoin":50}	3003009
3004001	9080411	9180411	1	5	104	1	{"vcoin":20}	
3004002	9080412	9180412	1	5	104	2	{"vcoin":20}	3004001
3004003	9080413	9180413	1	5	104	3	{"vcoin":20}	3004002
3004004	9080414	9180414	1	5	104	4	{"vcoin":20}	3004003
3006013	9080501	9180501	1	7	2	1	{"0103003":1,"gcoin":28000,"0511001":10}	
3006014	9080502	9180502	1	7	2	1	{"vcoin":120,"gcoin":2500}	3006013
3006015	9080503	9180503	1	7	2	1	{"0105002":1,"vcoin":500}	3006014
3006069	9080503	9180504	1	7	2	1	{"vcoin":80}	3006016
3006001	9080601	9180601	1	7	5	1	{"vcoin":50}	3006015
3006002	9080602	9180602	1	7	10	1	{"vcoin":50}	3006001
3006003	9080603	9180603	1	7	15	1	{"vcoin":60}	3006002
3006004	9080604	9180604	1	7	20	1	{"vcoin":60}	3006003
3006005	9080605	9180605	1	7	25	1	{"vcoin":80}	3006004
3006006	9080606	9180606	1	7	30	1	{"vcoin":80}	3006005
3006007	9080607	9180607	1	7	40	1	{"vcoin":100}	3006006
3006008	9080608	9180608	1	7	50	1	{"vcoin":100}	3006007
3006009	9080609	9180609	1	7	60	1	{"vcoin":150}	3006008
3006010	9080610	9180610	1	7	70	1	{"vcoin":150}	3006009
3006011	9080611	9180611	1	7	80	1	{"vcoin":200}	3006010
3006012	9080612	9180612	1	7	90	1	{"vcoin":300}	3006011
3007001	9080701	9180701	1	8	1	1	{"vcoin":20,"0202006":1}	
3007002	9080702	9180702	1	8	4	4	{"vcoin":20,"0202006":2}	3007001
3007003	9080703	9180703	1	8	10	10	{"vcoin":30,"0202006":3}	3007002
3007004	9080704	9180704	1	8	22	22	{"vcoin":40,"0202006":4}	3007003
3007005	9080705	9180705	1	8	46	46	{"vcoin":40,"0202006":5}	3007004
3007006	9080706	9180706	1	8	94	94	{"vcoin":40,"0202006":6}	3007005
3007007	9080707	9180707	1	8	190	190	{"vcoin":50,"0202006":7}	3007006
3007008	9080708	9180708	1	8	390	390	{"vcoin":100,"0202006":8}	3007007
3016002	9080802	9180802	2	10	0	1	{"exp":60,"vcoin":25}	
3011008	9080814	9180814	2	10	0	3	{"exp":60,"vcoin":50}	3011001
3017001	9080809	9180809	2	11	0	3	{"exp":60,"0202007":2}	
3018001	9080810	9180810	2	12	1	1	{"ap":60}	
3018002	9080811	9180811	2	12	2	1	{"ap":60}	3018001
3011001	9080804	9180804	2	14	0	3	{"exp":75,"vcoin":25}	
3011007	9080813	9180813	2	14	0	7	{"exp":175,"vcoin":50}	3011001
3011003	9080806	9180806	2	17	0	2	{"exp":100,"0202008":2}	
3011004	9080807	9180807	2	18	0	3	{"exp":160,"0202008":2}	
3011005	9080808	9180808	2	19	0	3	{"exp":80,"0202007":1}	
