專屬碼	名稱	說明	對應的裝備	販售價個	回收價格	需求量	需求金額	對應物升2星需求量	對應物升2星需求金錢	對應物升3星需求量	對應物升3星需求金錢	對應物升4星需求量	對應物升4星需求金錢	對應物升5星需求量	對應物升5星需求金錢	出處
0503001	9303001	9150001	0103001	{"1":7500,"2":2,"3":100,"4":50}	75	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503002	9303002	9150001	0103002	{"1":7500,"2":2,"3":100,"4":50}	75	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503003	9303003	9150001	0103003	{"1":7500,"2":2,"3":100,"4":50}	75	10	1500	10	27000	30	35000	80	120000	160	225000	new
0503004	9303004	9150001	0103004	{"1":7500,"2":2,"3":100,"4":50}	75	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503005	9303005	9150001	0103005	{"1":7500,"2":2,"3":100,"4":50}	75	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503006	9303006	9150001	0103006	{"1":7500,"2":2,"3":100,"4":50}	75	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503007	9303007	9150001	0103007	{"1":7500,"2":2,"3":100,"4":50}	75	10	1500	10	27000	30	35000	80	120000	160	225000	pvp
0503008	9303008	9150001	0103008	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503009	9303009	9150001	0103009	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	gdraw
0503010	9303010	9150001	0103010	{"1":7500,"2":2,"3":100,"4":50}	75	10	3000	10	27000	30	35000	80	120000	160	225000	gdraw
0503011	9303011	9150001	0103011	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	shop
0503012	9303012	9150001	0103012	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	eshop
0503013	9303013	9150001	0103013	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503014	9303014	9150001	0103014	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0503015	9303015	9150001	0103015	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	eshop
0503016	9303016	9150001	0103016	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0503017	9303017	9150001	0103017	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0503018	9303018	9150001	0103018	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	shop
0503019	9303019	9150001	0103019	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0503020	9303020	9150001	0103020	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	eshop
0503021	9303021	9150001	0103021	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	eshop
0503022	9303022	9150001	0103022	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	eshop
0503051	9303023	9150001	0103051	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	gdraw
0503052	9303024	9150001	0103052	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	vdraw
0503053	9303025	9150001	0103053	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503054	9303026	9150001	0103054	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	v10draw
0503055	9303027	9150001	0103055	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	vdraw
0503056	9303028	9150001	0103056	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	vdraw
0503057	9303029	9150001	0103057	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	vdraw
0503058	9303030	9150001	0103058	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	shop
0503059	9303031	9150001	0103059	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0503060	9303032	9150001	0103060	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	v10draw
0503061	9303033	9150001	0103061	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v10draw
0503062	9303034	9150001	0103062	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503063	9303035	9150001	0103063	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0503064	9303036	9150001	0103064	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0503501	9303037	9150001	0103501	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	pvp
0503502	9303038	9150001	0103502	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0503503	9303039	9150001	0103503	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503504	9303040	9150001	0103504	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503505	9303041	9150001	0103505	{"1":12500,"2":6,"3":100,"4":50}	125	20	3000	10	27000	30	35000	80	120000	160	225000	drop
0503506	9303042	9150001	0103506	{"1":10000,"2":4,"3":100,"4":50}	100	10	1500	10	27000	30	35000	80	120000	160	225000	drop
0503507	9303043	9150001	0103507	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	drop
0503065	9303044	9150001	0103065	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503066	9303045	9150001	0103066	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v10draw
0503067	9303046	9150001	0103067	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503068	9303047	9150001	0103068	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0503069	9303048	9150001	0103069	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503070	9303049	9150001	0103070	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503071	9303050	9150001	0103071	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503072	9303051	9150001	0103072	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503073	9303052	9150001	0103073	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	test
0503074	9303053	9150001	0103074	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0503075	9303054	9150001	0103075	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503076	9303055	9150001	0103076	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503077	9303056	9150001	0103077	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0503078	9303057	9150001	0103078	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
0503079	9303058	9150001	0103079	{"1":17500,"2":10,"3":100,"4":50}	175	100	35000	10	27000	30	35000	80	120000	160	225000	v2draw
0503080	9303059	9150001	0103080	{"1":15000,"2":8,"3":100,"4":50}	150	40	6000	10	27000	30	35000	80	120000	160	225000	v2draw
